########################################## 03/11/2014 23:42 ##########################################
Multilayer Perceptron Backpropagation - Matrices de orden 4
 ELEMENTOS DE ENTRENAMIENTO = 700
 ELEMENTOS DE VALIDACION = 105
 ELEMENTOS DE TEST = 300
------------------------------------------------------------------------------------------
 @ PERCEPTRON MULTICAPA 
   * UMBRAL DE ERROR : 0.01
   * NEURONAS DE ENTRADA : 6
   * NEURONAS OCULTAS    : 80
   * NEURONAS DE SALIDA  : 6
   * FACTOR DE APRENDIZAJE : 1.0E-4
   * MOMENTUM : 0.01
------------------------------------------------------------------------------------------
   Iteracion #191000 Error:0.05842526452005865
   Iteracion #192000 Error:0.058420713485893075
   Iteracion #193000 Error:0.058416182601798615
   Iteracion #194000 Error:0.05841167125684799
   Iteracion #195000 Error:0.05840717884819
   Iteracion #196000 Error:0.05840270478106747
   Iteracion #197000 Error:0.05839824846883093
   Iteracion #198000 Error:0.05839380933294851
   Iteracion #199000 Error:0.058389386803011464
   Iteracion #200000 Error:0.05838498031673808
   Iteracion #201000 Error:0.05838058931997374
   Iteracion #202000 Error:0.058376213266689
   Iteracion #203000 Error:0.05837185161897579
   Iteracion #204000 Error:0.05836750384704138
   Iteracion #205000 Error:0.058363169429200404
   Iteracion #206000 Error:0.05835884785186533
   Iteracion #207000 Error:0.05835453860953492
   Iteracion #208000 Error:0.058350241204780856
   Iteracion #209000 Error:0.05834595514823283
   Iteracion #210000 Error:0.05834167995856087
   Iteracion #211000 Error:0.05833741516245631
   Iteracion #212000 Error:0.05833316029461003
   Iteracion #213000 Error:0.058328914897688405
   Iteracion #214000 Error:0.05832467852230648
   Iteracion #215000 Error:0.058320450726998235
   Iteracion #216000 Error:0.05831623107818434
   Iteracion #217000 Error:0.05831201915013586
   Iteracion #218000 Error:0.05830781452493529
   Iteracion #219000 Error:0.05830361679243354
   Iteracion #220000 Error:0.05829942555020327
   Iteracion #221000 Error:0.058295240403488484
   Iteracion #222000 Error:0.05829106096514991
   Iteracion #223000 Error:0.05828688685560597
   Iteracion #224000 Error:0.058282717702770215
   Iteracion #225000 Error:0.05827855314198373
   Iteracion #226000 Error:0.05827439281594369
   Iteracion #227000 Error:0.058270236374627346
   Iteracion #228000 Error:0.05826608347521195
   Iteracion #229000 Error:0.05826193378199046
   Iteracion #230000 Error:0.05825778696628256
   Iteracion #231000 Error:0.058253642706342965
   Iteracion #232000 Error:0.05824950068726485
   Iteracion #233000 Error:0.058245360600880015
   Iteracion #234000 Error:0.05824122214565617
   Iteracion #235000 Error:0.0582370850265906
   Iteracion #236000 Error:0.058232948955101345
   Iteracion #237000 Error:0.05822881364891623
   Iteracion #238000 Error:0.05822467883195919
   Iteracion #239000 Error:0.058220544234235734
   Iteracion #240000 Error:0.0582164095917163
   Iteracion #241000 Error:0.058212274646219545
   Iteracion #242000 Error:0.0582081391452945
   Iteracion #243000 Error:0.05820400284210302
   Iteracion #244000 Error:0.058199865495302656
   Iteracion #245000 Error:0.05819572686893005
   Iteracion #246000 Error:0.05819158673228594
   Iteracion #247000 Error:0.05818744485982151
   Iteracion #248000 Error:0.05818330103102699
   Iteracion #249000 Error:0.058179155030322297
   Iteracion #250000 Error:0.058175006646950946
   Iteracion #251000 Error:0.05817085567487663
   Iteracion #252000 Error:0.058166701912683375
   Iteracion #253000 Error:0.0581625451634793
   Iteracion #254000 Error:0.05815838523480443
   Iteracion #255000 Error:0.058154221938542285
   Iteracion #256000 Error:0.058150055090836116
   Iteracion #257000 Error:0.05814588451200925
   Iteracion #258000 Error:0.05814171002649017
   Iteracion #259000 Error:0.05813753146274196
   Iteracion #260000 Error:0.058133348653196325
   Iteracion #261000 Error:0.05812916143419235
   Iteracion #262000 Error:0.05812496964591954
   Iteracion #263000 Error:0.05812077313236531
   Iteracion #264000 Error:0.05811657174126697
   Iteracion #265000 Error:0.0581123653240674
   Iteracion #266000 Error:0.05810815373587508
   Iteracion #267000 Error:0.05810393683542765
   Iteracion #268000 Error:0.05809971448505905
   Iteracion #269000 Error:0.05809548655066981
   Iteracion #270000 Error:0.05809125290170053
   Iteracion #271000 Error:0.05808701341110794
   Iteracion #272000 Error:0.058082767955343215
   Iteracion #273000 Error:0.058078516414332704
   Iteracion #274000 Error:0.058074258671460384
   Iteracion #275000 Error:0.058069994613552
   Iteracion #276000 Error:0.058065724130859794
   Iteracion #277000 Error:0.0580614471170489
   Iteracion #278000 Error:0.05805716346918408
   Iteracion #279000 Error:0.05805287308771636
   Iteracion #280000 Error:0.0580485758764709
   Iteracion #281000 Error:0.05804427174263306
   Iteracion #282000 Error:0.05803996059673555
   Iteracion #283000 Error:0.05803564235264385
   Iteracion #284000 Error:0.05803131692754119
   Iteracion #285000 Error:0.058026984241912355
   Iteracion #286000 Error:0.05802264421952637
   Iteracion #287000 Error:0.0580182967874172
   Iteracion #288000 Error:0.05801394187586362
   Iteracion #289000 Error:0.05800957941836655
   Iteracion #290000 Error:0.05800520935162551
   Iteracion #291000 Error:0.05800083161551198
   Iteracion #292000 Error:0.05799644615304171
   Iteracion #293000 Error:0.05799205291034437
   Iteracion #294000 Error:0.057987651836631536
   Iteracion #295000 Error:0.05798324288416209
   Iteracion #296000 Error:0.057978826008205434
   Iteracion #297000 Error:0.057974401167003205
   Iteracion #298000 Error:0.05796996832172768
   Iteracion #299000 Error:0.05796552743643922
   Iteracion #300000 Error:0.05796107847804071
   Iteracion #301000 Error:0.05795662141623051
   Iteracion #302000 Error:0.057952156223452685
   Iteracion #303000 Error:0.05794768287484649
   Iteracion #304000 Error:0.05794320134819239
   Iteracion #305000 Error:0.05793871162385771
   Iteracion #306000 Error:0.05793421368473976
   Iteracion #307000 Error:0.057929707516207574
   Iteracion #308000 Error:0.05792519310604197
   Iteracion #309000 Error:0.05792067044437457
   Iteracion #310000 Error:0.057916139523625114
   Iteracion #311000 Error:0.057911600338437855
   Iteracion #312000 Error:0.057907052885616456
   Iteracion #313000 Error:0.05790249716405866
   Iteracion #314000 Error:0.05789793317468958
   Iteracion #315000 Error:0.05789336092039407
   Iteracion #316000 Error:0.057888780405949164
   Iteracion #317000 Error:0.05788419163795608
   Iteracion #318000 Error:0.057879594624770755
   Iteracion #319000 Error:0.05787498937643579
   Iteracion #320000 Error:0.057870375904611346
   Iteracion #321000 Error:0.057865754222506255
   Iteracion #322000 Error:0.05786112434480968
   Iteracion #323000 Error:0.05785648628762288
   Iteracion #324000 Error:0.057851840068391384
   Iteracion #325000 Error:0.05784718570583818
   Iteracion #326000 Error:0.057842523219897184
   Iteracion #327000 Error:0.05783785263164801
   Iteracion #328000 Error:0.057833173963251425
   Iteracion #329000 Error:0.057828487237886375
   Iteracion #330000 Error:0.057823792479687816
   Iteracion #331000 Error:0.05781908971368622
   Iteracion #332000 Error:0.05781437896574862
   Iteracion #333000 Error:0.057809660262521344
   Iteracion #334000 Error:0.05780493363137423
   Iteracion #335000 Error:0.057800199100347026
   Iteracion #336000 Error:0.05779545669809784
   Iteracion #337000 Error:0.05779070645385333
   Iteracion #338000 Error:0.05778594839736133
   Iteracion #339000 Error:0.057781182558845984
   Iteracion #340000 Error:0.05777640896896481
   Iteracion #341000 Error:0.0577716276587687
   Iteracion #342000 Error:0.0577668386596643
   Iteracion #343000 Error:0.05776204200337899
   Iteracion #344000 Error:0.05775723772192879
   Iteracion #345000 Error:0.057752425847588856
   Iteracion #346000 Error:0.05774760641286721
   Iteracion #347000 Error:0.05774277945048093
   Iteracion #348000 Error:0.057737944993335504
   Iteracion #349000 Error:0.05773310307450754
   Iteracion #350000 Error:0.057728253727230186
   Iteracion #351000 Error:0.05772339698488159
   Iteracion #352000 Error:0.05771853288097684
   Iteracion #353000 Error:0.05771366144916268
   Iteracion #354000 Error:0.05770878272321582
   Iteracion #355000 Error:0.0577038967370439
   Iteracion #356000 Error:0.05769900352469
   Iteracion #357000 Error:0.05769410312034014
   Iteracion #358000 Error:0.05768919555833388
   Iteracion #359000 Error:0.057684280873178256
   Iteracion #360000 Error:0.057679359099564315
   Iteracion #361000 Error:0.05767443027238721
   Iteracion #362000 Error:0.05766949442676902
   Iteracion #363000 Error:0.05766455159808417
   Iteracion #364000 Error:0.057659601821988135
   Iteracion #365000 Error:0.05765464513444904
   Iteracion #366000 Error:0.057649681571781186
   Iteracion #367000 Error:0.05764471117068175
   Iteracion #368000 Error:0.057639733968270185
   Iteracion #369000 Error:0.057634750002128955
   Iteracion #370000 Error:0.05762975931034767
   Iteracion #371000 Error:0.05762476193156858
   Iteracion #372000 Error:0.05761975790503447
   Iteracion #373000 Error:0.05761474727063804
   Iteracion #374000 Error:0.0576097300689731
   Iteracion #375000 Error:0.05760470634138726
   Iteracion #376000 Error:0.057599676130036095
   Iteracion #377000 Error:0.05759463947793834
   Iteracion #378000 Error:0.057589596429031886
   Iteracion #379000 Error:0.05758454702823078
   Iteracion #380000 Error:0.057579491321482816
   Iteracion #381000 Error:0.05757442935582742
   Iteracion #382000 Error:0.0575693611794536
   Iteracion #383000 Error:0.05756428684175795
   Iteracion #384000 Error:0.05755920639340237
   Iteracion #385000 Error:0.05755411988637125
   Iteracion #386000 Error:0.05754902737402766
   Iteracion #387000 Error:0.057543928911169155
   Iteracion #388000 Error:0.057538824554081505
   Iteracion #389000 Error:0.057533714360591626
   Iteracion #390000 Error:0.05752859839011849
   Iteracion #391000 Error:0.057523476703721946
   Iteracion #392000 Error:0.05751834936414964
   Iteracion #393000 Error:0.05751321643588099
   Iteracion #394000 Error:0.05750807798516881
   Iteracion #395000 Error:0.0575029340800775
   Iteracion #396000 Error:0.05749778479051858
   Iteracion #397000 Error:0.057492630188282
   Iteracion #398000 Error:0.05748747034706426
   Iteracion #399000 Error:0.05748230534249236
   Iteracion #400000 Error:0.05747713525214312
   Iteracion #401000 Error:0.05747196015555869
   Iteracion #402000 Error:0.05746678013425684
   Iteracion #403000 Error:0.05746159527173668
   Iteracion #404000 Error:0.057456405653478565
   Iteracion #405000 Error:0.0574512113669398
   Iteracion #406000 Error:0.05744601250154361
   Iteracion #407000 Error:0.057440809148663154
   Iteracion #408000 Error:0.05743560140159934
   Iteracion #409000 Error:0.057430389355552426
   Iteracion #410000 Error:0.05742517310758802
   Iteracion #411000 Error:0.05741995275659588
   Iteracion #412000 Error:0.05741472840324301
   Iteracion #413000 Error:0.057409500149919884
   Iteracion #414000 Error:0.05740426810067967
   Iteracion #415000 Error:0.057399032361171526
   Iteracion #416000 Error:0.05739379303856645
   Iteracion #417000 Error:0.05738855024147671
   Iteracion #418000 Error:0.05738330407986816
   Iteracion #419000 Error:0.05737805466496594
   Iteracion #420000 Error:0.05737280210915366
   Iteracion #421000 Error:0.05736754652586501
   Iteracion #422000 Error:0.05736228802946998
   Iteracion #423000 Error:0.057357026735153124
   Iteracion #424000 Error:0.05735176275878663
   Iteracion #425000 Error:0.0573464962167958
   Iteracion #426000 Error:0.057341227226019656
   Iteracion #427000 Error:0.057335955903564675
   Iteracion #428000 Error:0.057330682366652785
   Iteracion #429000 Error:0.057325406732464335
   Iteracion #430000 Error:0.05732012911797497
   Iteracion #431000 Error:0.05731484963978816
   Iteracion #432000 Error:0.0573095684139623
   Iteracion #433000 Error:0.05730428555583359
   Iteracion #434000 Error:0.05729900117983499
   Iteracion #435000 Error:0.05729371539931069
   Iteracion #436000 Error:0.057288428326327745
   Iteracion #437000 Error:0.05728314007148393
   Iteracion #438000 Error:0.05727785074371349
   Iteracion #439000 Error:0.05727256045009019
   Iteracion #440000 Error:0.05726726929562817
   Iteracion #441000 Error:0.05726197738308197
   Iteracion #442000 Error:0.05725668481274486
   Iteracion #443000 Error:0.057251391682246744
   Iteracion #444000 Error:0.057246098086351734
   Iteracion #445000 Error:0.05724080411675639
   Iteracion #446000 Error:0.057235509861888155
   Iteracion #447000 Error:0.05723021540670511
   Iteracion #448000 Error:0.05722492083249761
   Iteracion #449000 Error:0.057219626216691584
   Iteracion #450000 Error:0.05721433163265503
   Iteracion #451000 Error:0.05720903714950677
   Iteracion #452000 Error:0.057203742831929034
   Iteracion #453000 Error:0.05719844873998439
   Iteracion #454000 Error:0.057193154928936014
   Iteracion #455000 Error:0.05718786144907359
   Iteracion #456000 Error:0.05718256834554428
   Iteracion #457000 Error:0.05717727565818894
   Iteracion #458000 Error:0.05717198342138456
   Iteracion #459000 Error:0.05716669166389318
   Iteracion #460000 Error:0.057161400408717235
   Iteracion #461000 Error:0.05715610967296249
   Iteracion #462000 Error:0.05715081946770764
   Iteracion #463000 Error:0.05714552979788251
   Iteracion #464000 Error:0.05714024066215333
   Iteracion #465000 Error:0.05713495205281713
